instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,type_of_day,hr
703,2011-02-01,1,0,2,0,2,1,2,9.84,14.395,75.0,0.0,7,45,52,,15.0
704,2011-02-01,1,0,2,0,2,1,2,9.84,12.120000000000001,75.0,8.9981,3,61,64,,16.0
705,2011-02-01,1,0,2,0,2,1,2,9.84,14.395,75.0,0.0,4,172,176,,17.0
706,2011-02-01,1,0,2,0,2,1,2,9.84,12.879999999999999,81.0,7.0015,3,165,168,,18.0
707,2011-02-01,1,0,2,0,2,1,2,9.84,12.120000000000001,81.0,8.9981,3,105,108,,19.0
708,2011-02-01,1,0,2,0,2,1,2,9.02,11.365,87.0,8.9981,5,69,74,,20.0
709,2011-02-01,1,0,2,0,2,1,2,9.02,11.365,87.0,8.9981,0,64,64,,21.0
710,2011-02-01,1,0,2,0,2,1,2,9.02,12.879999999999999,87.0,6.0032,2,34,36,,22.0
711,2011-02-01,1,0,2,0,2,1,3,8.200000000000001,9.85,93.0,12.998000000000001,1,15,16,,23.0
712,2011-02-02,1,0,2,0,3,1,3,9.02,12.120000000000001,93.0,7.0015,0,2,2,,0.0
713,2011-02-02,1,0,2,0,3,1,3,9.02,11.365,93.0,12.998000000000001,0,3,3,,1.0
714,2011-02-02,1,0,2,0,3,1,3,9.02,11.365,93.0,8.9981,4,0,4,,2.0
715,2011-02-02,1,0,2,0,3,1,3,9.02,11.365,93.0,8.9981,0,1,1,,3.0
716,2011-02-02,1,0,2,0,3,1,3,9.02,10.605,93.0,19.0012,0,1,1,,4.0
717,2011-02-02,1,0,2,0,3,1,3,9.02,12.120000000000001,93.0,7.0015,0,3,3,,5.0
718,2011-02-02,1,0,2,0,3,1,3,9.02,12.120000000000001,93.0,7.0015,1,17,18,,6.0
719,2011-02-02,1,0,2,0,3,1,3,9.02,10.605,93.0,15.001299999999999,1,48,49,,7.0
720,2011-02-02,1,0,2,0,3,1,3,9.02,10.605,93.0,15.001299999999999,1,154,155,,8.0
721,2011-02-02,1,0,2,0,3,1,2,9.84,12.879999999999999,93.0,6.0032,4,119,123,,9.0
722,2011-02-02,1,0,2,0,3,1,2,9.02,13.635,100.0,0.0,2,59,61,,10.0
723,2011-02-02,1,0,2,0,3,1,2,9.84,11.365,93.0,12.998000000000001,5,47,52,,11.0
724,2011-02-02,1,0,2,0,3,1,2,9.84,11.365,93.0,15.001299999999999,3,61,64,,12.0
725,2011-02-02,1,0,2,0,3,1,1,13.940000000000001,16.665,93.0,11.0014,1,74,75,,13.0
726,2011-02-02,1,0,2,0,3,1,1,15.58,19.695,82.0,26.0027,2,61,63,,14.0
727,2011-02-02,1,0,2,0,3,1,1,15.58,19.695,76.0,22.0028,10,66,76,,15.0
728,2011-02-02,1,0,2,0,3,1,1,14.76,16.665,71.0,19.999499999999998,8,95,103,,16.0
729,2011-02-02,1,0,2,0,3,1,1,14.76,15.909999999999998,53.0,35.0008,7,183,190,,17.0
730,2011-02-02,1,0,2,0,3,1,1,13.940000000000001,14.395,42.0,36.9974,7,175,182,,18.0
731,2011-02-02,1,0,2,0,3,1,1,11.48,12.120000000000001,45.0,32.9975,3,88,91,,19.0
732,2011-02-02,1,0,2,0,3,1,1,9.84,9.85,48.0,36.9974,4,71,75,,20.0
733,2011-02-02,1,0,2,0,3,1,1,9.02,9.85,47.0,22.0028,1,62,63,,21.0
734,2011-02-02,1,0,2,0,3,1,1,9.02,10.605,44.0,16.997899999999998,5,35,40,,22.0
735,2011-02-02,1,0,2,0,3,1,1,8.200000000000001,8.334999999999999,44.0,30.002599999999997,3,29,32,,23.0
736,2011-02-03,1,0,2,0,4,1,1,8.200000000000001,8.334999999999999,40.0,30.002599999999997,1,11,12,,0.0
737,2011-02-03,1,0,2,0,4,1,1,8.200000000000001,7.575,44.0,35.0008,0,5,5,,1.0
738,2011-02-03,1,0,2,0,4,1,1,7.38,8.334999999999999,43.0,16.997899999999998,0,2,2,,2.0
739,2011-02-03,1,0,2,0,4,1,1,7.38,8.334999999999999,43.0,16.997899999999998,0,1,1,,3.0
740,2011-02-03,1,0,2,0,4,1,1,6.5600000000000005,6.819999999999999,50.0,19.999499999999998,0,2,2,,5.0
741,2011-02-03,1,0,2,0,4,1,1,6.5600000000000005,6.819999999999999,43.0,23.9994,0,39,39,,6.0
742,2011-02-03,1,0,2,0,4,1,1,5.74,6.0600000000000005,50.0,22.0028,1,86,87,,7.0
743,2011-02-03,1,0,2,0,4,1,1,5.74,6.0600000000000005,50.0,23.9994,4,184,188,,8.0
744,2011-02-03,1,0,2,0,4,1,1,6.5600000000000005,6.819999999999999,47.0,19.999499999999998,6,127,133,,9.0
745,2011-02-03,1,0,2,0,4,1,1,7.38,7.575,43.0,22.0028,2,50,52,,10.0
746,2011-02-03,1,0,2,0,4,1,1,7.38,6.819999999999999,43.0,30.002599999999997,9,55,64,,11.0
747,2011-02-03,1,0,2,0,4,1,1,8.200000000000001,9.09,40.0,23.9994,2,67,69,,12.0
748,2011-02-03,1,0,2,0,4,1,1,8.200000000000001,8.334999999999999,40.0,27.999299999999998,4,47,51,,13.0
749,2011-02-03,1,0,2,0,4,1,1,9.02,9.85,37.0,26.0027,4,43,47,,14.0
750,2011-02-03,1,0,2,0,4,1,1,9.02,9.85,37.0,22.0028,4,56,60,,15.0
751,2011-02-03,1,0,2,0,4,1,1,9.02,10.605,37.0,16.997899999999998,5,73,78,,16.0
752,2011-02-03,1,0,2,0,4,1,1,8.200000000000001,9.85,40.0,12.998000000000001,5,170,175,,17.0
753,2011-02-03,1,0,2,0,4,1,1,8.200000000000001,10.605,40.0,11.0014,2,145,147,,18.0
754,2011-02-03,1,0,2,0,4,1,1,8.200000000000001,12.879999999999999,40.0,0.0,4,92,96,,19.0
755,2011-02-03,1,0,2,0,4,1,1,8.200000000000001,11.365,47.0,6.0032,1,108,109,,20.0
756,2011-02-03,1,0,2,0,4,1,1,7.38,10.605,55.00000000000001,7.0015,1,53,54,,21.0
757,2011-02-03,1,0,2,0,4,1,1,7.38,10.605,51.0,6.0032,2,39,41,,22.0
758,2011-02-03,1,0,2,0,4,1,1,8.200000000000001,11.365,47.0,7.0015,4,34,38,,23.0
759,2011-02-04,1,0,2,0,5,1,2,8.200000000000001,12.879999999999999,44.0,0.0,3,10,13,,0.0
760,2011-02-04,1,0,2,0,5,1,2,6.5600000000000005,11.365,59.0,0.0,0,7,7,,1.0
761,2011-02-04,1,0,2,0,5,1,2,5.74,8.334999999999999,63.0,7.0015,0,1,1,,2.0
762,2011-02-04,1,0,2,0,5,1,2,5.74,8.334999999999999,63.0,7.0015,0,1,1,,3.0
763,2011-02-04,1,0,2,0,5,1,2,5.74,7.575,63.0,8.9981,0,7,7,,5.0
764,2011-02-04,1,0,2,0,5,1,2,6.5600000000000005,11.365,55.00000000000001,0.0,2,26,28,,6.0
765,2011-02-04,1,0,2,0,5,1,1,5.74,10.605,59.0,0.0,0,87,87,,7.0
766,2011-02-04,1,0,2,0,5,1,1,5.74,7.575,74.0,8.9981,3,217,220,,8.0
767,2011-02-04,1,0,2,0,5,1,2,6.5600000000000005,9.09,80.0,8.9981,3,124,127,,9.0
768,2011-02-04,1,0,2,0,5,1,2,8.200000000000001,10.605,51.0,8.9981,5,46,51,,10.0
769,2011-02-04,1,0,2,0,5,1,1,9.02,11.365,51.0,11.0014,3,61,64,,11.0
770,2011-02-04,1,0,2,0,5,1,2,9.84,12.120000000000001,48.0,11.0014,8,78,86,,12.0
771,2011-02-04,1,0,2,0,5,1,2,10.66,12.879999999999999,50.0,15.001299999999999,9,73,82,,13.0
772,2011-02-04,1,0,2,0,5,1,2,11.48,13.635,45.0,11.0014,15,76,91,,14.0
773,2011-02-04,1,0,2,0,5,1,2,11.48,13.635,48.0,16.997899999999998,9,81,90,,15.0
774,2011-02-04,1,0,2,0,5,1,2,12.299999999999999,14.395,42.0,15.001299999999999,8,91,99,,16.0
775,2011-02-04,1,0,2,0,5,1,2,10.66,13.635,56.00000000000001,8.9981,10,195,205,,17.0
776,2011-02-04,1,0,2,0,5,1,2,9.84,12.879999999999999,60.0,7.0015,3,152,155,,18.0
777,2011-02-04,1,0,2,0,5,1,2,9.84,12.120000000000001,65.0,8.9981,1,102,103,,19.0
778,2011-02-04,1,0,2,0,5,1,2,9.84,12.120000000000001,65.0,11.0014,2,69,71,,20.0
779,2011-02-04,1,0,2,0,5,1,2,9.84,12.120000000000001,70.0,11.0014,2,41,43,,21.0
780,2011-02-04,1,0,2,0,5,1,2,9.84,12.120000000000001,65.0,11.0014,1,45,46,,22.0
781,2011-02-04,1,0,2,0,5,1,2,9.84,12.120000000000001,70.0,8.9981,1,30,31,,23.0
782,2011-02-05,1,0,2,0,6,0,2,9.84,12.120000000000001,70.0,11.0014,3,36,39,,0.0
783,2011-02-05,1,0,2,0,6,0,2,9.84,12.120000000000001,65.0,11.0014,1,17,18,,1.0
784,2011-02-05,1,0,2,0,6,0,2,9.84,12.120000000000001,75.0,11.0014,5,12,17,,2.0
785,2011-02-05,1,0,2,0,6,0,2,9.84,12.120000000000001,75.0,11.0014,1,10,11,,3.0
786,2011-02-05,1,0,2,0,6,0,3,9.02,11.365,93.0,8.9981,0,8,8,,4.0
787,2011-02-05,1,0,2,0,6,0,3,8.200000000000001,11.365,100.0,6.0032,0,9,9,,5.0
788,2011-02-05,1,0,2,0,6,0,3,8.200000000000001,12.879999999999999,100.0,0.0,0,4,4,,6.0
789,2011-02-05,1,0,2,0,6,0,3,9.02,12.879999999999999,93.0,6.0032,0,4,4,,7.0
790,2011-02-05,1,0,2,0,6,0,3,8.200000000000001,11.365,100.0,6.0032,0,10,10,,8.0
791,2011-02-05,1,0,2,0,6,0,3,8.200000000000001,11.365,100.0,6.0032,3,17,20,,9.0
792,2011-02-05,1,0,2,0,6,0,3,8.200000000000001,10.605,100.0,8.9981,3,31,34,,10.0
793,2011-02-05,1,0,2,0,6,0,3,9.02,11.365,100.0,8.9981,1,46,47,,11.0
794,2011-02-05,1,0,2,0,6,0,3,9.02,11.365,100.0,11.0014,10,42,52,,12.0
795,2011-02-05,1,0,2,0,6,0,3,9.02,11.365,100.0,11.0014,10,62,72,,13.0
796,2011-02-05,1,0,2,0,6,0,3,9.02,13.635,100.0,0.0,5,50,55,,14.0
797,2011-02-05,1,0,2,0,6,0,3,9.02,13.635,100.0,0.0,11,49,60,,15.0
798,2011-02-05,1,0,2,0,6,0,3,9.02,11.365,100.0,8.9981,8,63,71,,16.0
799,2011-02-05,1,0,2,0,6,0,2,9.84,10.605,100.0,19.0012,14,64,78,,17.0
800,2011-02-05,1,0,2,0,6,0,2,11.48,12.120000000000001,93.0,30.002599999999997,2,81,83,,18.0
801,2011-02-05,1,0,2,0,6,0,2,11.48,12.120000000000001,93.0,30.002599999999997,6,78,84,,19.0
802,2011-02-05,1,0,2,0,6,0,1,12.299999999999999,14.395,87.0,16.997899999999998,5,64,69,,20.0
803,2011-02-05,1,0,2,0,6,0,1,10.66,12.879999999999999,100.0,12.998000000000001,3,53,56,,21.0
804,2011-02-05,1,0,2,0,6,0,1,10.66,13.635,93.0,8.9981,2,43,45,,22.0
805,2011-02-05,1,0,2,0,6,0,1,10.66,12.879999999999999,93.0,15.001299999999999,7,52,59,,23.0
806,2011-02-06,1,0,2,0,0,0,1,10.66,12.879999999999999,70.0,12.998000000000001,2,37,39,,0.0
807,2011-02-06,1,0,2,0,0,0,1,10.66,11.365,65.0,27.999299999999998,4,40,44,,1.0
808,2011-02-06,1,0,2,0,0,0,1,10.66,11.365,60.0,22.0028,0,20,20,,2.0
809,2011-02-06,1,0,2,0,0,0,1,10.66,14.395,60.0,6.0032,3,10,13,,3.0
810,2011-02-06,1,0,2,0,0,0,1,10.66,11.365,60.0,23.9994,0,2,2,,4.0
811,2011-02-06,1,0,2,0,0,0,1,10.66,12.879999999999999,60.0,15.001299999999999,0,1,1,,5.0
812,2011-02-06,1,0,2,0,0,0,1,10.66,12.879999999999999,60.0,15.001299999999999,0,1,1,,6.0
813,2011-02-06,1,0,2,0,0,0,1,9.84,12.120000000000001,65.0,11.0014,0,8,8,,7.0
814,2011-02-06,1,0,2,0,0,0,1,9.84,12.879999999999999,65.0,7.0015,2,21,23,,8.0
815,2011-02-06,1,0,2,0,0,0,1,11.48,14.395,56.00000000000001,7.0015,7,38,45,,9.0
816,2011-02-06,1,0,2,0,0,0,1,12.299999999999999,14.395,52.0,16.997899999999998,15,74,89,,10.0
817,2011-02-06,1,0,2,0,0,0,1,13.120000000000001,15.15,49.0,16.997899999999998,28,89,117,,11.0
818,2011-02-06,1,0,2,0,0,0,1,13.940000000000001,16.665,46.0,0.0,48,126,174,,12.0
819,2011-02-06,1,0,2,0,0,0,1,13.940000000000001,18.18,46.0,0.0,47,135,182,,13.0
820,2011-02-06,1,0,2,0,0,0,1,13.940000000000001,17.424999999999997,46.0,6.0032,47,114,161,,14.0
821,2011-02-06,1,0,2,0,0,0,1,13.940000000000001,17.424999999999997,46.0,6.0032,52,130,182,,15.0
822,2011-02-06,1,0,2,0,0,0,1,13.940000000000001,17.424999999999997,49.0,7.0015,42,115,157,,16.0
823,2011-02-06,1,0,2,0,0,0,1,13.940000000000001,18.18,46.0,0.0,24,97,121,,17.0
824,2011-02-06,1,0,2,0,0,0,1,12.299999999999999,15.15,56.00000000000001,11.0014,13,65,78,,18.0
825,2011-02-06,1,0,2,0,0,0,1,11.48,14.395,61.0,8.9981,1,20,21,,19.0
826,2011-02-06,1,0,2,0,0,0,1,11.48,14.395,61.0,7.0015,5,21,26,,20.0
827,2011-02-06,1,0,2,0,0,0,1,10.66,15.15,60.0,0.0,5,22,27,,21.0
828,2011-02-06,1,0,2,0,0,0,1,10.66,15.15,60.0,0.0,5,57,62,,22.0
829,2011-02-06,1,0,2,0,0,0,1,9.84,14.395,65.0,0.0,4,26,30,,23.0
830,2011-02-07,1,0,2,0,1,1,1,9.84,14.395,65.0,0.0,1,14,15,,0.0
831,2011-02-07,1,0,2,0,1,1,1,9.02,13.635,75.0,0.0,1,4,5,,1.0
832,2011-02-07,1,0,2,0,1,1,1,8.200000000000001,12.879999999999999,80.0,0.0,0,3,3,,2.0
833,2011-02-07,1,0,2,0,1,1,1,8.200000000000001,12.879999999999999,86.0,0.0,0,1,1,,3.0
834,2011-02-07,1,0,2,0,1,1,1,8.200000000000001,12.879999999999999,86.0,0.0,1,1,2,,4.0
835,2011-02-07,1,0,2,0,1,1,1,8.200000000000001,12.879999999999999,86.0,0.0,1,9,10,,5.0
836,2011-02-07,1,0,2,0,1,1,1,7.38,12.120000000000001,93.0,0.0,1,29,30,,6.0
837,2011-02-07,1,0,2,0,1,1,1,7.38,12.120000000000001,86.0,0.0,6,89,95,,7.0
838,2011-02-07,1,0,2,0,1,1,2,6.5600000000000005,11.365,100.0,0.0,7,223,230,,8.0
839,2011-02-07,1,0,2,0,1,1,1,9.02,13.635,80.0,0.0,3,115,118,,9.0
840,2011-02-07,1,0,2,0,1,1,1,9.84,12.879999999999999,75.0,7.0015,6,49,55,,10.0
841,2011-02-07,1,0,2,0,1,1,1,12.299999999999999,15.909999999999998,65.0,6.0032,11,36,47,,11.0
842,2011-02-07,1,0,2,0,1,1,2,13.120000000000001,17.424999999999997,62.0,0.0,7,59,66,,12.0
843,2011-02-07,1,0,2,0,1,1,2,14.76,18.18,56.99999999999999,6.0032,10,54,64,,13.0
844,2011-02-07,1,0,2,0,1,1,2,14.76,18.18,56.99999999999999,6.0032,8,52,60,,14.0
845,2011-02-07,1,0,2,0,1,1,2,15.58,19.695,54.0,6.0032,4,46,50,,15.0
846,2011-02-07,1,0,2,0,1,1,2,14.76,17.424999999999997,56.99999999999999,8.9981,16,98,114,,16.0
847,2011-02-07,1,0,2,0,1,1,2,13.120000000000001,15.909999999999998,70.0,11.0014,9,207,216,,17.0
848,2011-02-07,1,0,2,0,1,1,2,13.940000000000001,16.665,66.0,8.9981,5,170,175,,18.0
849,2011-02-07,1,0,2,0,1,1,2,13.120000000000001,17.424999999999997,70.0,0.0,5,123,128,,19.0
850,2011-02-07,1,0,2,0,1,1,2,13.120000000000001,16.665,70.0,7.0015,6,82,88,,20.0
851,2011-02-07,1,0,2,0,1,1,1,13.120000000000001,17.424999999999997,70.0,0.0,3,75,78,,21.0
852,2011-02-07,1,0,2,0,1,1,1,11.48,15.15,81.0,6.0032,3,34,37,,22.0
853,2011-02-07,1,0,2,0,1,1,2,12.299999999999999,16.665,81.0,0.0,6,19,25,,23.0
854,2011-02-08,1,0,2,0,2,1,2,11.48,15.909999999999998,87.0,0.0,4,6,10,,0.0
855,2011-02-08,1,0,2,0,2,1,2,11.48,15.909999999999998,87.0,0.0,0,4,4,,1.0
856,2011-02-08,1,0,2,0,2,1,2,10.66,13.635,93.0,7.0015,1,1,2,,2.0
857,2011-02-08,1,0,2,0,2,1,3,11.48,13.635,93.0,11.0014,0,1,1,,3.0
858,2011-02-08,1,0,2,0,2,1,1,10.66,12.879999999999999,93.0,11.0014,0,3,3,,4.0
859,2011-02-08,1,0,2,0,2,1,1,10.66,11.365,81.0,22.0028,0,2,2,,5.0
860,2011-02-08,1,0,2,0,2,1,1,10.66,11.365,70.0,22.0028,0,39,39,,6.0
861,2011-02-08,1,0,2,0,2,1,1,9.84,9.85,65.0,27.999299999999998,3,97,100,,7.0
862,2011-02-08,1,0,2,0,2,1,1,9.84,9.85,56.00000000000001,32.9975,7,236,243,,8.0
863,2011-02-08,1,0,2,0,2,1,1,9.84,9.85,52.0,32.9975,7,128,135,,9.0
864,2011-02-08,1,0,2,0,2,1,1,9.02,9.09,47.0,36.9974,4,44,48,,10.0
865,2011-02-08,1,0,2,0,2,1,1,9.02,9.09,47.0,31.0009,1,49,50,,11.0
866,2011-02-08,1,0,2,0,2,1,1,9.84,9.85,38.0,32.9975,2,63,65,,12.0
867,2011-02-08,1,0,2,0,2,1,2,9.84,9.85,32.0,30.002599999999997,2,48,50,,13.0
868,2011-02-08,1,0,2,0,2,1,1,9.02,9.85,37.0,27.999299999999998,3,61,64,,14.0
869,2011-02-08,1,0,2,0,2,1,1,9.02,9.85,35.0,26.0027,6,45,51,,15.0
870,2011-02-08,1,0,2,0,2,1,1,9.02,9.09,35.0,35.0008,4,79,83,,16.0
871,2011-02-08,1,0,2,0,2,1,1,9.02,9.09,32.0,39.000699999999995,4,172,176,,17.0
872,2011-02-08,1,0,2,0,2,1,1,8.200000000000001,9.09,32.0,26.0027,1,151,152,,18.0
873,2011-02-08,1,0,2,0,2,1,1,6.5600000000000005,6.0600000000000005,40.0,31.0009,1,100,101,,19.0
874,2011-02-08,1,0,2,0,2,1,1,6.5600000000000005,6.819999999999999,40.0,22.0028,3,53,56,,20.0
875,2011-02-08,1,0,2,0,2,1,1,5.74,5.305,33.0,31.0009,8,46,54,,21.0
876,2011-02-08,1,0,2,0,2,1,1,4.92,5.305,33.0,23.9994,0,29,29,,22.0
877,2011-02-08,1,0,2,0,2,1,1,4.92,5.305,33.0,22.0028,3,9,12,,23.0
878,2011-02-09,1,0,2,0,3,1,1,4.1000000000000005,3.7900000000000005,36.0,23.9994,0,17,17,,0.0
879,2011-02-09,1,0,2,0,3,1,1,4.1000000000000005,5.305,36.0,15.001299999999999,0,7,7,,1.0
880,2011-02-09,1,0,2,0,3,1,1,3.2800000000000002,3.7900000000000005,38.0,19.0012,1,2,3,,2.0
881,2011-02-09,1,0,2,0,3,1,1,2.46,3.7900000000000005,45.0,8.9981,0,2,2,,3.0
882,2011-02-09,1,0,2,0,3,1,1,2.46,5.305,45.0,7.0015,0,7,7,,5.0
883,2011-02-09,1,0,2,0,3,1,1,2.46,7.575,45.0,0.0,0,43,43,,6.0
884,2011-02-09,1,0,2,0,3,1,1,2.46,5.305,49.0,7.0015,4,95,99,,7.0
885,2011-02-09,1,0,2,0,3,1,1,4.1000000000000005,6.819999999999999,42.0,0.0,1,198,199,,8.0
886,2011-02-09,1,0,2,0,3,1,1,4.92,6.819999999999999,39.0,11.0014,4,119,123,,9.0
887,2011-02-09,1,0,2,0,3,1,1,5.74,9.09,36.0,0.0,8,51,59,,10.0
888,2011-02-09,1,0,2,0,3,1,2,5.74,7.575,43.0,11.0014,1,40,41,,11.0
889,2011-02-09,1,0,2,0,3,1,2,7.38,9.09,40.0,15.001299999999999,4,57,61,,12.0
890,2011-02-09,1,0,2,0,3,1,1,7.38,8.334999999999999,40.0,16.997899999999998,2,67,69,,13.0
891,2011-02-09,1,0,2,0,3,1,1,8.200000000000001,9.09,34.0,19.999499999999998,2,56,58,,14.0
892,2011-02-09,1,0,2,0,3,1,2,8.200000000000001,9.09,34.0,19.0012,3,61,64,,15.0
893,2011-02-09,1,0,2,0,3,1,2,8.200000000000001,9.85,37.0,16.997899999999998,7,72,79,,16.0
894,2011-02-09,1,0,2,0,3,1,2,8.200000000000001,9.85,34.0,16.997899999999998,9,157,166,,17.0
895,2011-02-09,1,0,2,0,3,1,2,7.38,8.334999999999999,47.0,19.999499999999998,2,168,170,,18.0
896,2011-02-09,1,0,2,0,3,1,3,5.74,6.0600000000000005,86.0,16.997899999999998,1,87,88,,19.0
897,2011-02-09,1,0,2,0,3,1,3,5.74,7.575,86.0,11.0014,0,84,84,,20.0
898,2011-02-09,1,0,2,0,3,1,2,5.74,7.575,86.0,11.0014,0,83,83,,21.0
899,2011-02-09,1,0,2,0,3,1,3,6.5600000000000005,8.334999999999999,80.0,11.0014,4,42,46,,22.0
900,2011-02-09,1,0,2,0,3,1,3,6.5600000000000005,7.575,80.0,12.998000000000001,0,37,37,,23.0
901,2011-02-10,1,0,2,0,4,1,3,5.74,6.819999999999999,86.0,12.998000000000001,0,16,16,,0.0
902,2011-02-10,1,0,2,0,4,1,3,5.74,7.575,80.0,8.9981,0,7,7,,1.0
903,2011-02-10,1,0,2,0,4,1,3,5.74,7.575,80.0,8.9981,0,3,3,,2.0
904,2011-02-10,1,0,2,0,4,1,2,5.74,6.819999999999999,59.0,15.001299999999999,0,1,1,,4.0
905,2011-02-10,1,0,2,0,4,1,2,4.92,6.0600000000000005,50.0,15.001299999999999,0,6,6,,5.0
906,2011-02-10,1,0,2,0,4,1,2,4.92,6.0600000000000005,54.0,19.0012,0,26,26,,6.0
907,2011-02-10,1,0,2,0,4,1,1,4.1000000000000005,3.7900000000000005,50.0,27.999299999999998,0,99,99,,7.0
908,2011-02-10,1,0,2,0,4,1,1,4.1000000000000005,3.7900000000000005,49.0,22.0028,5,173,178,,8.0
909,2011-02-10,1,0,2,0,4,1,1,4.92,5.305,42.0,23.9994,1,121,122,,9.0
910,2011-02-10,1,0,2,0,4,1,1,4.92,5.305,42.0,19.999499999999998,1,34,35,,10.0
911,2011-02-10,1,0,2,0,4,1,1,5.74,6.0600000000000005,39.0,23.9994,1,44,45,,11.0
912,2011-02-10,1,0,2,0,4,1,1,6.5600000000000005,6.819999999999999,34.0,26.0027,4,65,69,,12.0
913,2011-02-10,1,0,2,0,4,1,1,7.38,8.334999999999999,28.999999999999996,19.999499999999998,3,59,62,,13.0
914,2011-02-10,1,0,2,0,4,1,1,8.200000000000001,9.09,27.0,19.0012,6,42,48,,14.0
915,2011-02-10,1,0,2,0,4,1,1,8.200000000000001,9.85,25.0,16.997899999999998,0,50,50,,15.0
916,2011-02-10,1,0,2,0,4,1,1,8.200000000000001,9.09,27.0,19.999499999999998,4,76,80,,16.0
917,2011-02-10,1,0,2,0,4,1,1,7.38,9.09,26.0,12.998000000000001,6,159,165,,17.0
918,2011-02-10,1,0,2,0,4,1,1,6.5600000000000005,9.09,28.000000000000004,8.9981,3,157,160,,18.0
919,2011-02-10,1,0,2,0,4,1,1,5.74,8.334999999999999,28.000000000000004,7.0015,2,110,112,,19.0
920,2011-02-10,1,0,2,0,4,1,1,5.74,9.09,31.0,6.0032,4,93,97,,20.0
921,2011-02-10,1,0,2,0,4,1,1,5.74,10.605,39.0,0.0,2,70,72,,21.0
922,2011-02-10,1,0,2,0,4,1,1,4.92,9.85,39.0,0.0,4,47,51,,22.0
923,2011-02-10,1,0,2,0,4,1,1,4.92,7.575,42.0,7.0015,1,33,34,,23.0
924,2011-02-11,1,0,2,0,5,1,1,4.1000000000000005,6.819999999999999,49.0,7.0015,2,12,14,,0.0
925,2011-02-11,1,0,2,0,5,1,1,4.1000000000000005,6.819999999999999,54.0,6.0032,1,6,7,,1.0
926,2011-02-11,1,0,2,0,5,1,1,4.1000000000000005,6.819999999999999,54.0,6.0032,0,3,3,,2.0
927,2011-02-11,1,0,2,0,5,1,1,3.2800000000000002,6.0600000000000005,63.0,6.0032,0,4,4,,5.0
928,2011-02-11,1,0,2,0,5,1,1,4.1000000000000005,9.09,68.0,0.0,1,23,24,,6.0
929,2011-02-11,1,0,2,0,5,1,1,3.2800000000000002,8.334999999999999,73.0,0.0,1,73,74,,7.0
930,2011-02-11,1,0,2,0,5,1,1,4.1000000000000005,6.0600000000000005,74.0,11.0014,4,212,216,,8.0
931,2011-02-11,1,0,2,0,5,1,1,4.92,6.0600000000000005,74.0,15.001299999999999,8,132,140,,9.0
932,2011-02-11,1,0,2,0,5,1,1,5.74,6.819999999999999,69.0,12.998000000000001,5,39,44,,10.0
933,2011-02-11,1,0,2,0,5,1,1,9.02,11.365,47.0,8.9981,12,52,64,,11.0
934,2011-02-11,1,0,2,0,5,1,1,9.02,11.365,47.0,8.9981,7,64,71,,12.0
935,2011-02-11,1,0,2,0,5,1,1,9.84,11.365,35.0,12.998000000000001,21,89,110,,13.0
936,2011-02-11,1,0,2,0,5,1,1,12.299999999999999,14.395,26.0,16.997899999999998,17,67,84,,14.0
937,2011-02-11,1,0,2,0,5,1,1,13.120000000000001,15.909999999999998,21.0,11.0014,12,62,74,,15.0
938,2011-02-11,1,0,2,0,5,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,14,111,125,,16.0
939,2011-02-11,1,0,2,0,5,1,1,12.299999999999999,16.665,24.0,0.0,18,193,211,,17.0
940,2011-02-11,1,0,2,0,5,1,1,11.48,15.909999999999998,28.000000000000004,0.0,9,165,174,,18.0
941,2011-02-11,1,0,2,0,5,1,1,10.66,15.15,33.0,0.0,7,94,101,,19.0
942,2011-02-11,1,0,2,0,5,1,1,9.02,11.365,55.00000000000001,8.9981,2,61,63,,20.0
943,2011-02-11,1,0,2,0,5,1,1,8.200000000000001,10.605,59.0,8.9981,1,46,47,,21.0
944,2011-02-11,1,0,2,0,5,1,1,8.200000000000001,11.365,64.0,6.0032,2,41,43,,22.0
945,2011-02-11,1,0,2,0,5,1,1,7.38,12.120000000000001,69.0,0.0,5,48,53,,23.0
946,2011-02-12,1,0,2,0,6,0,1,6.5600000000000005,9.85,69.0,6.0032,3,27,30,,0.0
947,2011-02-12,1,0,2,0,6,0,1,5.74,10.605,86.0,0.0,2,22,24,,1.0
948,2011-02-12,1,0,2,0,6,0,1,5.74,10.605,80.0,0.0,2,13,15,,2.0
949,2011-02-12,1,0,2,0,6,0,1,4.92,9.85,80.0,0.0,3,7,10,,3.0
950,2011-02-12,1,0,2,0,6,0,1,4.92,8.334999999999999,74.0,6.0032,0,4,4,,4.0
951,2011-02-12,1,0,2,0,6,0,1,4.92,8.334999999999999,74.0,6.0032,0,1,1,,5.0
952,2011-02-12,1,0,2,0,6,0,1,4.92,6.819999999999999,93.0,12.998000000000001,1,1,2,,6.0
953,2011-02-12,1,0,2,0,6,0,1,4.92,7.575,80.0,7.0015,2,9,11,,7.0
954,2011-02-12,1,0,2,0,6,0,1,5.74,7.575,86.0,8.9981,2,28,30,,8.0
955,2011-02-12,1,0,2,0,6,0,1,6.5600000000000005,9.09,64.0,8.9981,5,38,43,,9.0
